loan_id,credit_score,annual_income,dti_ratio,loan_amount,loan_term_months,employment_years,delinq_2yrs,open_accounts,revolving_utilization_pct,home_ownership,purpose,region,origination_year,is_default,risk_grade,predicted_default_prob,predicted_risk_tier
L105231,681,53700.0,7.2,5500.0,36,1.9,0,8,44.0,RENT,debt_consolidation,Northeast,2023,1,C (Prime),0.4877,Moderate
L105232,717,39500.0,7.8,8100.0,60,4.1,0,4,66.8,MORTGAGE,auto,West,2025,0,B (Prime+),0.4657,Moderate
L105233,734,112300.0,22.1,7200.0,36,11.3,0,8,50.6,MORTGAGE,credit_card,South,2025,0,B (Prime+),0.3263,Low
L105234,477,98400.0,19.7,7500.0,36,2.0,0,4,34.7,RENT,credit_card,Midwest,2025,0,E (Subprime),0.6971,Severe
L105235,700,79500.0,6.0,10700.0,36,1.6,0,8,45.7,RENT,medical,South,2023,0,C (Prime),0.4198,Low
L105236,563,42500.0,38.0,16400.0,36,1.8,1,12,16.3,RENT,debt_consolidation,West,2024,0,E (Subprime),0.7794,Severe
L105237,691,57200.0,22.3,5000.0,60,3.8,1,7,16.8,RENT,debt_consolidation,Northeast,2025,0,C (Prime),0.5179,Moderate
L105238,623,35400.0,20.4,13600.0,36,2.0,0,8,20.0,RENT,credit_card,South,2024,0,D (Near-Prime),0.6079,High
L105239,687,32600.0,10.2,15100.0,36,6.8,0,12,36.9,MORTGAGE,other,Northeast,2024,0,C (Prime),0.4751,Moderate
L105240,769,56500.0,5.2,15500.0,36,7.2,0,14,75.4,MORTGAGE,auto,West,2023,0,A (Super-Prime),0.3573,Low
L105241,569,63100.0,6.4,28800.0,36,6.9,1,9,31.5,RENT,small_business,Northeast,2023,0,E (Subprime),0.5962,High
L105242,692,70800.0,3.5,10100.0,60,7.0,0,11,32.0,RENT,debt_consolidation,Northeast,2025,0,C (Prime),0.3962,Low
L105243,675,56800.0,1.3,19100.0,60,3.7,0,6,88.5,MORTGAGE,home_improvement,Northeast,2022,0,C (Prime),0.5327,Moderate
L105244,557,144800.0,14.4,31500.0,36,3.2,1,12,16.0,OWN,medical,Northeast,2023,0,E (Subprime),0.4979,Moderate
L105245,722,33800.0,7.8,13500.0,36,1.5,0,6,10.7,MORTGAGE,medical,Midwest,2024,0,B (Prime+),0.38,Low
L105246,682,101900.0,9.6,15400.0,60,2.4,0,8,47.4,MORTGAGE,home_improvement,South,2025,1,C (Prime),0.4308,Low
L105247,647,44500.0,29.5,3900.0,36,6.2,0,6,64.6,OWN,auto,South,2024,0,D (Near-Prime),0.641,High
L105248,633,85000.0,23.4,5200.0,36,1.3,1,15,50.3,MORTGAGE,debt_consolidation,Midwest,2024,0,D (Near-Prime),0.6191,High
L105249,850,34800.0,15.4,7400.0,60,1.1,0,11,17.2,MORTGAGE,other,Northeast,2022,0,A (Super-Prime),0.2627,Low
L105250,654,156300.0,32.1,32400.0,36,13.9,0,8,27.6,RENT,home_improvement,South,2023,0,C (Prime),0.3733,Low
L105251,563,108300.0,26.1,8100.0,36,3.4,0,5,13.6,MORTGAGE,home_improvement,Midwest,2023,0,E (Subprime),0.5399,Moderate
L105252,619,25100.0,10.3,15000.0,36,0.7,0,7,48.7,RENT,credit_card,Northeast,2024,0,D (Near-Prime),0.6472,Severe
L105253,656,101900.0,18.2,11500.0,36,12.5,0,12,19.5,OWN,credit_card,Midwest,2025,0,C (Prime),0.3473,Low
L105254,655,59400.0,9.8,5100.0,36,2.0,0,8,25.9,OWN,debt_consolidation,South,2023,1,C (Prime),0.4681,Moderate
L105255,675,84100.0,18.2,3100.0,36,1.3,1,8,34.9,RENT,credit_card,Northeast,2024,0,C (Prime),0.4916,Moderate
L105256,612,54400.0,42.8,14800.0,60,0.3,1,5,58.0,MORTGAGE,small_business,South,2022,0,D (Near-Prime),0.7752,Severe
L105257,715,51000.0,15.7,7300.0,36,1.7,0,7,16.1,MORTGAGE,other,Northeast,2025,1,B (Prime+),0.4101,Low
L105258,649,28000.0,21.9,13000.0,36,6.4,0,6,67.5,MORTGAGE,auto,West,2024,0,D (Near-Prime),0.6337,High
L105259,592,43500.0,9.9,8400.0,36,2.6,0,5,63.3,OWN,credit_card,South,2025,1,D (Near-Prime),0.6507,Severe
L105260,627,53900.0,10.2,8700.0,36,1.3,0,9,23.5,RENT,debt_consolidation,Northeast,2023,0,D (Near-Prime),0.5421,Moderate
L105261,655,24400.0,15.7,9000.0,36,2.7,0,6,17.3,MORTGAGE,other,South,2023,0,C (Prime),0.5198,Moderate
L105262,735,33900.0,14.2,7400.0,60,9.2,1,5,14.7,MORTGAGE,other,West,2024,0,B (Prime+),0.3619,Low
L105263,711,54800.0,3.3,5300.0,60,4.5,0,11,44.0,MORTGAGE,auto,Northeast,2024,0,B (Prime+),0.3885,Low
L105264,658,67800.0,23.3,8100.0,36,9.0,0,7,18.8,MORTGAGE,debt_consolidation,West,2024,0,C (Prime),0.4596,Moderate
L105265,681,43900.0,8.8,9300.0,60,2.5,0,7,10.5,OWN,debt_consolidation,West,2024,0,C (Prime),0.4214,Low
L105266,694,107400.0,10.3,4200.0,36,2.9,1,5,17.6,MORTGAGE,debt_consolidation,South,2023,0,C (Prime),0.331,Low
L105267,813,42700.0,11.6,16200.0,36,1.3,0,9,21.2,MORTGAGE,auto,Northeast,2024,0,A (Super-Prime),0.2882,Low
L105268,640,73800.0,17.7,6100.0,36,16.8,0,10,23.1,MORTGAGE,credit_card,Northeast,2023,0,D (Near-Prime),0.3902,Low
L105269,710,103100.0,10.7,10900.0,36,0.4,0,9,67.7,MORTGAGE,debt_consolidation,South,2025,0,B (Prime+),0.4467,Low
L105270,727,37500.0,6.8,9900.0,36,13.9,1,6,89.1,MORTGAGE,credit_card,South,2025,0,B (Prime+),0.4748,Moderate
L105271,618,95700.0,7.9,3500.0,36,4.6,0,6,21.9,MORTGAGE,debt_consolidation,South,2024,0,D (Near-Prime),0.4257,Low
L105272,692,51400.0,14.2,4900.0,60,5.1,0,8,28.0,RENT,debt_consolidation,Northeast,2023,1,C (Prime),0.4615,Moderate
L105273,691,36500.0,17.4,9000.0,36,0.1,0,9,43.0,MORTGAGE,home_improvement,Northeast,2024,0,C (Prime),0.5672,High
L105274,649,119400.0,20.4,6900.0,60,0.0,1,11,43.0,OWN,debt_consolidation,West,2023,1,D (Near-Prime),0.5025,Moderate
L105275,717,121300.0,7.8,8000.0,60,2.4,0,7,63.4,MORTGAGE,home_improvement,South,2022,0,B (Prime+),0.3438,Low
L105276,747,47400.0,8.6,11600.0,60,12.9,0,8,31.4,OWN,credit_card,West,2025,0,B (Prime+),0.3003,Low
L105277,753,92400.0,32.4,11900.0,60,5.6,1,7,55.4,MORTGAGE,home_improvement,South,2025,1,A (Super-Prime),0.4835,Moderate
L105278,668,88800.0,25.0,6000.0,36,4.9,0,11,22.7,RENT,credit_card,South,2023,0,C (Prime),0.4541,Moderate
L105279,692,54600.0,3.3,4900.0,36,1.9,0,11,21.9,MORTGAGE,debt_consolidation,West,2024,0,C (Prime),0.3942,Low
L105280,833,159200.0,14.7,16000.0,60,4.1,0,8,28.5,RENT,medical,West,2024,0,A (Super-Prime),0.1589,Low
L105281,608,52200.0,18.9,10000.0,36,1.9,0,4,22.3,RENT,home_improvement,Midwest,2024,1,D (Near-Prime),0.5909,High
L105282,694,40200.0,24.3,16700.0,36,10.0,0,8,46.0,MORTGAGE,debt_consolidation,South,2022,1,C (Prime),0.5185,Moderate
L105283,738,56100.0,23.9,5100.0,36,17.3,0,8,30.3,OWN,home_improvement,South,2024,1,B (Prime+),0.3537,Low
L105284,690,52500.0,1.0,11600.0,36,1.7,0,5,10.1,MORTGAGE,other,Northeast,2025,1,C (Prime),0.3533,Low
L105285,723,44900.0,30.6,6600.0,36,8.3,0,12,26.1,MORTGAGE,home_improvement,Northeast,2022,0,B (Prime+),0.4735,Moderate
L105286,691,48300.0,7.1,20500.0,36,0.1,0,8,42.7,MORTGAGE,credit_card,South,2024,0,C (Prime),0.4729,Moderate
L105287,729,29000.0,9.1,5000.0,36,0.3,0,11,36.0,RENT,debt_consolidation,West,2023,0,B (Prime+),0.4651,Moderate
L105288,763,74400.0,20.2,15600.0,36,2.4,0,7,45.5,OWN,debt_consolidation,South,2025,1,A (Super-Prime),0.4058,Low
L105289,666,28700.0,12.1,4900.0,36,13.3,0,11,43.0,MORTGAGE,credit_card,South,2024,0,C (Prime),0.4827,Moderate
L105290,693,94500.0,5.7,16400.0,36,8.4,0,9,43.7,MORTGAGE,credit_card,South,2025,0,C (Prime),0.3407,Low
L105291,676,77700.0,8.0,7200.0,60,6.5,0,8,61.0,MORTGAGE,credit_card,Midwest,2022,0,C (Prime),0.4082,Low
L105292,654,45900.0,19.2,40100.0,36,5.2,0,11,20.2,MORTGAGE,auto,West,2025,0,C (Prime),0.5232,Moderate
L105293,679,46000.0,25.3,4300.0,60,0.6,0,10,32.0,MORTGAGE,debt_consolidation,Midwest,2022,1,C (Prime),0.5512,Moderate
L105294,606,40400.0,32.6,9000.0,60,1.9,1,10,68.8,RENT,other,West,2023,1,D (Near-Prime),0.7777,Severe
L105295,728,55700.0,28.5,29000.0,60,5.4,1,8,16.4,MORTGAGE,debt_consolidation,West,2022,0,B (Prime+),0.4558,Moderate
L105296,791,129800.0,15.1,10200.0,36,0.5,1,11,36.1,MORTGAGE,credit_card,South,2024,0,A (Super-Prime),0.2561,Low
L105297,791,65100.0,14.8,9200.0,36,1.6,0,7,16.2,MORTGAGE,other,West,2024,0,A (Super-Prime),0.2725,Low
L105298,763,45200.0,7.0,19500.0,60,6.6,0,7,66.3,OWN,home_improvement,South,2023,1,A (Super-Prime),0.3998,Low
L105299,617,129900.0,15.1,22500.0,36,0.1,0,5,76.9,MORTGAGE,home_improvement,South,2024,0,D (Near-Prime),0.5628,High
L105300,779,45900.0,23.6,5700.0,36,11.3,0,12,49.7,MORTGAGE,credit_card,South,2025,1,A (Super-Prime),0.3932,Low
L105301,633,46900.0,12.6,31300.0,36,0.1,0,7,48.3,MORTGAGE,home_improvement,West,2023,1,D (Near-Prime),0.6052,High
L105302,677,157100.0,9.2,44800.0,36,6.2,0,2,48.8,RENT,credit_card,South,2022,0,C (Prime),0.2887,Low
L105303,800,77000.0,13.8,17700.0,36,2.0,0,10,22.7,OWN,debt_consolidation,South,2024,0,A (Super-Prime),0.2817,Low
L105304,610,99500.0,20.4,10500.0,60,13.6,0,9,47.2,OWN,auto,South,2022,1,D (Near-Prime),0.4614,Moderate
L105305,735,75300.0,11.8,4400.0,60,1.9,0,12,25.0,RENT,debt_consolidation,Northeast,2025,0,B (Prime+),0.3881,Low
L105306,698,72300.0,12.3,9000.0,36,0.3,1,3,38.6,MORTGAGE,credit_card,Midwest,2024,0,C (Prime),0.4248,Low
L105307,670,77600.0,11.5,4500.0,36,4.3,1,12,67.2,MORTGAGE,debt_consolidation,Midwest,2022,0,C (Prime),0.5126,Moderate
L105308,623,80700.0,8.0,7100.0,36,1.3,0,11,56.5,OWN,home_improvement,Midwest,2024,1,D (Near-Prime),0.5392,Moderate
L105309,707,162400.0,0.8,4400.0,36,20.5,1,8,85.1,MORTGAGE,medical,South,2022,0,B (Prime+),0.2258,Low
L105310,650,31700.0,32.6,29700.0,36,1.5,0,9,26.4,RENT,credit_card,South,2025,1,D (Near-Prime),0.673,Severe
L105311,748,17600.0,8.4,6100.0,60,21.9,1,6,22.9,MORTGAGE,other,South,2024,0,B (Prime+),0.2981,Low
L105312,760,48700.0,5.5,12400.0,60,7.8,0,6,23.5,RENT,debt_consolidation,West,2025,0,A (Super-Prime),0.3133,Low
L105313,590,27200.0,11.6,10900.0,36,6.4,0,12,34.0,MORTGAGE,debt_consolidation,West,2025,1,D (Near-Prime),0.6389,High
L105314,647,60200.0,7.3,12500.0,60,7.0,1,13,17.3,RENT,auto,Midwest,2022,1,D (Near-Prime),0.4272,Low
L105315,659,31300.0,17.5,14400.0,36,0.3,0,4,50.8,MORTGAGE,auto,West,2022,0,C (Prime),0.5743,High
L105316,603,56800.0,14.6,7600.0,36,5.2,0,4,41.5,RENT,debt_consolidation,Northeast,2024,0,D (Near-Prime),0.6023,High
L105317,607,95100.0,5.1,6900.0,36,0.1,1,6,10.9,MORTGAGE,other,South,2024,0,D (Near-Prime),0.4384,Low
L105318,686,43500.0,15.3,45900.0,60,0.5,0,6,40.9,MORTGAGE,debt_consolidation,South,2022,0,C (Prime),0.5452,Moderate
L105319,666,39000.0,30.6,16300.0,36,14.3,1,15,43.1,MORTGAGE,credit_card,West,2023,0,C (Prime),0.5766,High
L105320,573,81700.0,28.2,9200.0,36,5.2,2,4,13.7,MORTGAGE,small_business,South,2024,0,E (Subprime),0.6349,High
L105321,645,38700.0,13.8,4300.0,36,10.9,0,7,90.4,MORTGAGE,other,South,2024,0,D (Near-Prime),0.6134,High
L105322,714,53600.0,13.0,9100.0,60,3.6,1,9,25.8,MORTGAGE,credit_card,South,2024,1,B (Prime+),0.4273,Low
L105323,602,52000.0,24.4,14200.0,60,6.3,1,11,41.4,MORTGAGE,credit_card,South,2024,0,D (Near-Prime),0.6665,Severe
L105324,620,29900.0,23.3,4000.0,60,0.8,1,9,12.9,MORTGAGE,credit_card,West,2025,0,D (Near-Prime),0.6386,High
L105325,783,88000.0,16.6,5100.0,60,2.5,1,7,60.0,MORTGAGE,auto,South,2025,0,A (Super-Prime),0.3689,Low
L105326,766,32900.0,19.5,9300.0,60,0.6,0,8,38.6,MORTGAGE,other,West,2022,0,A (Super-Prime),0.421,Low
L105327,575,86200.0,10.9,9600.0,36,9.1,0,9,41.4,MORTGAGE,auto,Northeast,2024,0,E (Subprime),0.5175,Moderate
L105328,592,66900.0,15.9,30000.0,36,0.4,1,10,55.3,RENT,debt_consolidation,Northeast,2024,0,D (Near-Prime),0.7094,Severe
L105329,705,33200.0,5.0,5900.0,36,3.8,0,4,51.0,MORTGAGE,debt_consolidation,South,2024,1,B (Prime+),0.4674,Moderate
L105330,603,47000.0,12.7,10900.0,60,0.2,1,8,28.4,MORTGAGE,debt_consolidation,South,2024,1,D (Near-Prime),0.6395,High
L105331,664,84400.0,7.5,8800.0,36,0.4,1,7,43.7,RENT,auto,Midwest,2024,1,C (Prime),0.4563,Moderate
L105332,651,48500.0,10.3,13700.0,36,0.9,1,5,13.4,OWN,other,South,2023,0,C (Prime),0.477,Moderate
L105333,716,162000.0,10.3,17300.0,60,3.2,0,10,59.7,MORTGAGE,credit_card,West,2024,0,B (Prime+),0.2791,Low
L105334,516,34400.0,3.6,9000.0,60,1.2,0,6,74.0,OWN,medical,South,2025,0,E (Subprime),0.7776,Severe
L105335,537,99300.0,35.4,11700.0,36,4.2,0,13,46.7,MORTGAGE,credit_card,West,2023,0,E (Subprime),0.704,Severe
L105336,600,24900.0,19.7,20700.0,60,15.0,1,13,58.1,RENT,credit_card,West,2025,1,D (Near-Prime),0.6924,Severe
L105337,746,49100.0,2.2,7200.0,36,6.6,0,6,26.4,MORTGAGE,home_improvement,South,2025,0,B (Prime+),0.3166,Low
L105338,670,90300.0,16.6,8700.0,36,3.3,0,11,79.6,MORTGAGE,credit_card,South,2024,0,C (Prime),0.5375,Moderate
L105339,569,22000.0,25.9,16300.0,60,2.5,0,12,44.7,OWN,debt_consolidation,Northeast,2024,1,E (Subprime),0.7769,Severe
L105340,712,63400.0,29.4,16800.0,36,4.0,0,3,53.0,RENT,debt_consolidation,South,2024,1,B (Prime+),0.5514,Moderate
L105341,726,32500.0,19.7,3400.0,36,9.6,0,7,14.5,RENT,credit_card,South,2025,1,B (Prime+),0.4047,Low
L105342,664,29100.0,15.5,10600.0,60,10.9,1,5,30.6,RENT,small_business,West,2022,0,C (Prime),0.5103,Moderate
L105343,659,38800.0,22.8,9800.0,36,2.7,0,10,72.4,MORTGAGE,credit_card,Northeast,2023,1,C (Prime),0.6517,Severe
L105344,708,42400.0,15.2,22400.0,36,2.5,0,8,52.6,MORTGAGE,home_improvement,West,2025,1,B (Prime+),0.5311,Moderate
L105345,759,43600.0,10.8,21100.0,36,6.7,0,3,9.9,RENT,credit_card,Northeast,2024,0,A (Super-Prime),0.3016,Low
L105346,690,41400.0,18.3,10900.0,60,1.5,0,5,59.4,MORTGAGE,auto,Northeast,2022,0,C (Prime),0.5437,Moderate
L105347,715,36400.0,4.3,6200.0,60,1.0,0,8,17.0,RENT,debt_consolidation,West,2024,0,B (Prime+),0.4075,Low
L105348,677,15500.0,13.4,5400.0,36,18.0,1,7,34.9,MORTGAGE,debt_consolidation,Midwest,2025,0,C (Prime),0.4782,Moderate
L105349,655,106400.0,23.7,27400.0,36,4.5,0,6,33.7,MORTGAGE,debt_consolidation,Northeast,2025,1,C (Prime),0.4857,Moderate
L105350,620,154300.0,6.4,8100.0,60,4.2,1,9,6.8,RENT,debt_consolidation,Northeast,2025,0,D (Near-Prime),0.3451,Low
L105351,697,69000.0,8.0,13200.0,36,0.5,0,4,31.8,RENT,home_improvement,South,2023,1,C (Prime),0.4192,Low
L105352,660,48200.0,6.1,6100.0,36,0.4,2,9,14.4,OWN,credit_card,Northeast,2024,0,C (Prime),0.4856,Moderate
L105353,664,34200.0,2.6,7300.0,36,6.4,0,10,53.2,MORTGAGE,debt_consolidation,West,2024,1,C (Prime),0.5048,Moderate
L105354,740,63200.0,27.7,5300.0,60,0.8,0,6,63.7,RENT,debt_consolidation,South,2024,0,B (Prime+),0.5543,High
L105355,712,63300.0,33.9,7200.0,60,3.7,0,10,53.3,OWN,home_improvement,South,2023,1,B (Prime+),0.5685,High
L105356,737,35600.0,4.7,7100.0,60,9.5,0,4,64.0,RENT,credit_card,Northeast,2024,1,B (Prime+),0.4067,Low
L105357,578,50600.0,17.0,29900.0,60,0.8,0,9,14.3,RENT,debt_consolidation,Midwest,2023,0,E (Subprime),0.634,High
L105358,716,79300.0,9.4,4400.0,36,11.0,0,5,32.1,RENT,credit_card,South,2025,0,B (Prime+),0.3132,Low
L105359,642,63700.0,18.9,11500.0,60,4.5,1,9,63.7,RENT,medical,South,2025,1,D (Near-Prime),0.663,Severe
L105360,627,53800.0,15.8,6200.0,60,4.2,0,6,50.5,RENT,small_business,South,2025,0,D (Near-Prime),0.6169,High
L105361,625,58600.0,20.0,28300.0,36,0.6,0,7,33.3,MORTGAGE,debt_consolidation,Midwest,2024,0,D (Near-Prime),0.5972,High
L105362,759,38700.0,8.2,12200.0,60,1.1,0,5,4.5,MORTGAGE,debt_consolidation,Midwest,2024,0,A (Super-Prime),0.3158,Low
L105363,734,53700.0,10.5,6500.0,60,3.4,1,6,42.5,RENT,debt_consolidation,South,2023,1,B (Prime+),0.4428,Low
L105364,633,57200.0,25.4,6100.0,36,0.5,1,7,16.7,MORTGAGE,auto,Midwest,2025,1,D (Near-Prime),0.5749,High
L105365,606,38400.0,26.0,10400.0,60,10.5,0,9,28.3,MORTGAGE,debt_consolidation,South,2023,1,D (Near-Prime),0.6229,High
L105366,681,52000.0,11.2,6000.0,36,4.3,0,8,74.3,MORTGAGE,debt_consolidation,Northeast,2023,0,C (Prime),0.5492,Moderate
L105367,650,85900.0,15.1,5600.0,60,0.4,1,6,32.0,MORTGAGE,home_improvement,Northeast,2024,0,D (Near-Prime),0.5172,Moderate
L105368,788,91600.0,17.8,13100.0,36,1.4,2,6,67.3,MORTGAGE,small_business,Northeast,2025,1,A (Super-Prime),0.4225,Low
L105369,585,19000.0,4.5,8000.0,60,14.1,0,13,27.4,MORTGAGE,debt_consolidation,South,2023,0,D (Near-Prime),0.5608,High
L105370,561,27400.0,21.7,21500.0,60,5.1,0,3,85.0,MORTGAGE,debt_consolidation,South,2024,1,E (Subprime),0.8012,Severe
L105371,663,89700.0,6.4,7500.0,60,4.7,0,7,56.1,MORTGAGE,small_business,West,2024,1,C (Prime),0.433,Low
L105372,681,67800.0,6.0,5900.0,36,5.3,0,6,21.1,RENT,debt_consolidation,South,2023,0,C (Prime),0.38,Low
L105373,689,68300.0,6.9,7900.0,36,3.6,0,8,22.6,MORTGAGE,debt_consolidation,Midwest,2025,0,C (Prime),0.3797,Low
L105374,729,27900.0,11.5,31500.0,36,0.5,1,8,29.5,RENT,credit_card,West,2023,0,B (Prime+),0.4741,Moderate
L105375,815,57000.0,16.2,7600.0,60,0.8,1,10,6.4,RENT,home_improvement,South,2022,0,A (Super-Prime),0.3026,Low
L105376,658,73200.0,10.3,16600.0,60,5.4,1,7,57.8,RENT,small_business,South,2025,1,C (Prime),0.5525,High
L105377,645,67900.0,17.8,5800.0,60,18.5,0,4,44.7,RENT,debt_consolidation,South,2025,0,D (Near-Prime),0.4739,Moderate
L105378,566,38700.0,4.7,18200.0,36,5.7,1,8,40.5,OWN,debt_consolidation,South,2025,1,E (Subprime),0.6576,Severe
L105379,696,41600.0,7.4,9400.0,36,1.5,0,7,14.6,RENT,auto,West,2023,1,C (Prime),0.3919,Low
L105380,735,64100.0,15.4,25300.0,36,1.4,0,4,31.7,MORTGAGE,debt_consolidation,South,2025,1,B (Prime+),0.4167,Low
L105381,663,60300.0,17.9,4000.0,36,1.3,0,9,31.8,MORTGAGE,credit_card,South,2024,0,C (Prime),0.5078,Moderate
L105382,757,103800.0,35.3,12100.0,36,9.0,0,5,49.7,OWN,auto,South,2024,0,A (Super-Prime),0.3655,Low
L105383,682,18200.0,18.5,9800.0,36,1.2,1,4,31.1,MORTGAGE,debt_consolidation,West,2025,0,C (Prime),0.5951,High
L105384,778,41200.0,7.8,10400.0,60,4.4,2,6,33.6,MORTGAGE,medical,West,2025,1,A (Super-Prime),0.3871,Low
L105385,702,100700.0,22.5,4200.0,36,8.2,1,6,60.9,MORTGAGE,debt_consolidation,Northeast,2025,0,B (Prime+),0.4705,Moderate
L105386,611,31500.0,23.2,7700.0,36,2.3,0,4,63.1,MORTGAGE,home_improvement,South,2025,0,D (Near-Prime),0.7279,Severe
L105387,639,58000.0,22.7,15400.0,36,7.5,0,10,45.6,MORTGAGE,other,South,2024,0,D (Near-Prime),0.5716,High
L105388,580,110900.0,22.5,19100.0,60,10.1,0,6,52.3,MORTGAGE,small_business,Northeast,2023,1,E (Subprime),0.557,High
L105389,567,33600.0,24.5,18400.0,60,2.4,1,8,44.3,OWN,debt_consolidation,South,2023,1,E (Subprime),0.7635,Severe
L105390,697,64700.0,1.4,4100.0,36,3.2,0,4,26.5,MORTGAGE,debt_consolidation,Northeast,2023,0,C (Prime),0.3467,Low
L105391,737,140600.0,23.7,10400.0,36,0.9,0,4,42.1,RENT,auto,West,2023,0,B (Prime+),0.3057,Low
L105392,807,29600.0,11.3,8500.0,60,1.8,0,9,33.9,RENT,other,Northeast,2023,0,A (Super-Prime),0.3472,Low
L105393,676,20900.0,3.7,5400.0,36,3.7,0,8,30.2,OWN,debt_consolidation,South,2024,1,C (Prime),0.4841,Moderate
L105394,665,92200.0,15.4,6500.0,60,2.9,0,11,76.0,MORTGAGE,small_business,South,2024,0,C (Prime),0.5481,Moderate
L105395,608,43400.0,11.4,47100.0,60,2.1,0,6,53.2,MORTGAGE,small_business,Midwest,2024,0,D (Near-Prime),0.642,High
L105396,744,53700.0,21.1,6700.0,60,1.5,0,8,67.8,RENT,debt_consolidation,West,2022,0,B (Prime+),0.5145,Moderate
L105397,705,57000.0,8.0,20400.0,60,4.7,0,10,33.4,MORTGAGE,debt_consolidation,Northeast,2022,0,B (Prime+),0.4073,Low
L105398,641,100600.0,15.4,5600.0,36,2.2,0,11,10.9,RENT,auto,Midwest,2022,0,D (Near-Prime),0.384,Low
L105399,725,47800.0,15.4,12900.0,60,0.6,0,10,52.5,RENT,medical,Midwest,2025,1,B (Prime+),0.5251,Moderate
L105400,716,89400.0,27.7,29800.0,36,13.9,0,8,52.2,MORTGAGE,auto,West,2023,0,B (Prime+),0.3856,Low
L105401,558,79900.0,26.0,11200.0,36,0.0,0,4,59.6,RENT,home_improvement,South,2025,0,E (Subprime),0.7473,Severe
L105402,728,54800.0,17.8,12100.0,36,0.2,0,11,49.5,MORTGAGE,credit_card,West,2024,0,B (Prime+),0.4718,Moderate
L105403,689,92000.0,22.0,8100.0,60,5.5,0,8,56.1,MORTGAGE,debt_consolidation,South,2022,0,C (Prime),0.4714,Moderate
L105404,655,63800.0,12.5,19600.0,60,1.8,0,9,62.4,MORTGAGE,debt_consolidation,West,2025,0,C (Prime),0.5842,High
L105405,653,52500.0,6.2,18200.0,60,7.7,1,5,17.3,MORTGAGE,home_improvement,West,2025,0,C (Prime),0.4506,Low
L105406,794,241000.0,9.8,19000.0,36,3.3,0,5,71.0,MORTGAGE,credit_card,Northeast,2024,0,A (Super-Prime),0.1291,Low
L105407,780,20700.0,3.1,10200.0,36,0.4,0,10,39.7,MORTGAGE,small_business,South,2025,0,A (Super-Prime),0.3919,Low
L105408,799,31200.0,12.5,39600.0,60,29.9,0,7,24.2,RENT,credit_card,Midwest,2023,0,A (Super-Prime),0.1952,Low
L105409,605,33300.0,7.2,42400.0,36,6.7,0,11,32.2,MORTGAGE,home_improvement,Midwest,2024,1,D (Near-Prime),0.5819,High
L105410,637,44700.0,8.0,16700.0,36,6.8,0,12,37.5,RENT,medical,South,2025,0,D (Near-Prime),0.5608,High
L105411,739,59800.0,27.6,20700.0,36,10.5,0,6,45.5,MORTGAGE,debt_consolidation,Midwest,2024,0,B (Prime+),0.4304,Low
L105412,601,49200.0,30.0,3800.0,60,13.0,0,11,50.1,MORTGAGE,credit_card,Northeast,2025,0,D (Near-Prime),0.6567,Severe
L105413,633,166700.0,7.5,2700.0,60,1.5,0,12,48.2,RENT,debt_consolidation,Midwest,2023,0,D (Near-Prime),0.3638,Low
L105414,563,42600.0,2.9,9900.0,60,0.2,0,8,42.6,MORTGAGE,auto,West,2024,0,E (Subprime),0.6238,High
L105415,800,32300.0,21.7,17600.0,36,1.1,1,4,47.0,MORTGAGE,medical,Midwest,2025,0,A (Super-Prime),0.4571,Moderate
L105416,749,55300.0,4.4,26000.0,36,6.3,0,8,35.7,MORTGAGE,debt_consolidation,West,2022,0,B (Prime+),0.3149,Low
L105417,710,44300.0,11.6,8200.0,36,14.3,1,11,23.2,RENT,credit_card,Midwest,2025,0,B (Prime+),0.3744,Low
L105418,694,43200.0,5.1,8100.0,36,10.0,0,9,51.1,RENT,medical,South,2025,0,C (Prime),0.4646,Moderate
L105419,653,86100.0,15.4,19500.0,60,15.1,0,9,17.9,MORTGAGE,debt_consolidation,Northeast,2024,0,C (Prime),0.3794,Low
L105420,654,63900.0,23.3,3600.0,60,1.4,1,7,76.5,RENT,debt_consolidation,West,2022,0,C (Prime),0.6682,Severe
L105421,720,95200.0,10.8,10600.0,36,2.8,0,6,27.3,RENT,home_improvement,Midwest,2025,0,B (Prime+),0.338,Low
L105422,634,32500.0,44.5,8100.0,60,0.5,0,4,65.4,RENT,other,South,2022,1,D (Near-Prime),0.7774,Severe
L105423,760,73800.0,44.6,8300.0,36,2.0,2,9,55.5,MORTGAGE,credit_card,South,2025,1,A (Super-Prime),0.5934,High
L105424,648,55200.0,6.6,13100.0,36,14.3,0,6,49.1,RENT,credit_card,South,2025,0,D (Near-Prime),0.4533,Moderate
L105425,623,40400.0,12.4,10500.0,60,0.1,0,4,42.3,RENT,debt_consolidation,West,2025,0,D (Near-Prime),0.6319,High
L105426,764,25300.0,8.9,13700.0,60,7.3,1,6,28.5,MORTGAGE,debt_consolidation,Northeast,2024,0,A (Super-Prime),0.3872,Low
L105427,671,52600.0,15.1,10600.0,36,0.2,1,7,35.2,RENT,auto,Midwest,2025,1,C (Prime),0.5363,Moderate
L105428,716,30900.0,7.6,4700.0,36,4.2,0,4,23.0,MORTGAGE,debt_consolidation,Northeast,2025,0,B (Prime+),0.4133,Low
